number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_accuracy,user_attrs_mean_combined,user_attrs_mean_f1_weighted,user_attrs_mean_sharpe,user_attrs_std_accuracy,user_attrs_std_combined,user_attrs_std_f1_weighted,user_attrs_std_sharpe,state,mean_f1_weighted,std_f1_weighted,mean_accuracy,std_accuracy,mean_sharpe,std_sharpe,mean_combined,std_combined,trial_number
0,0.5561370271290939,2025-09-10 15:05:21.832734,2025-09-10 15:05:27.269785,0 days 00:00:05.437051,0.9499397176815474,0.6937379145233991,0.6461406956006734,3.6953949678350355,0.029626451992513726,3,8,919,0.0013773374027495867,0.001545770991865225,0.6574501440546028,0.4394777265745008,0.5561370271290939,0.4313170901403358,1.725006537630791,0.10929520288927333,0.234650005939237,0.10926866463370684,1.6117037110258203,COMPLETE,0.4313170901403358,0.10926866463370684,0.4394777265745008,0.10929520288927333,1.725006537630791,1.6117037110258203,0.5561370271290939,0.234650005939237,0
1,0.5029178011509599,2025-09-10 15:05:27.269785,2025-09-10 15:05:29.853639,0 days 00:00:02.583854,0.6267007621443952,0.6605593810564313,0.6096204602953929,4.537228392973826,0.05920012265550529,10,10,187,1.2132071293902189e-05,0.12159861356947205,0.7514452570531818,0.45622119815668205,0.5029178011509599,0.429516737406031,1.4614329871190184,0.10826017243504445,0.2745959541337349,0.11683675936817861,1.9422744602650466,COMPLETE,0.429516737406031,0.11683675936817861,0.45622119815668205,0.10826017243504445,1.4614329871190184,1.9422744602650466,0.5029178011509599,0.2745959541337349,1
2,0.5745231930563308,2025-09-10 15:05:29.854637,2025-09-10 15:05:32.757836,0 days 00:00:02.903199,0.683792880324527,0.8382435181677497,0.7801570375397467,0.0026924836351022163,0.014367148490345318,4,6,174,0.35139208791289916,4.76889991321951e-07,0.9923402879064809,0.4186635944700461,0.5745231930563308,0.4104578736027862,1.808745577759223,0.11342531096405749,0.19964178503761335,0.11131201091752689,1.3343695866428582,COMPLETE,0.4104578736027862,0.11131201091752689,0.4186635944700461,0.11342531096405749,1.808745577759223,1.3343695866428582,0.5745231930563308,0.19964178503761335,2
3,0.47583428827317353,2025-09-10 15:05:32.759336,2025-09-10 15:05:37.299993,0 days 00:00:04.540657,0.8651419545719674,0.880180071287606,0.6681377364955626,4.972790002730946,0.046835456779627097,9,10,124,8.453257464243621e-05,1.9906848506556918e-06,0.719582853493001,0.45130568356374806,0.47583428827317353,0.4276341520077521,1.306151858255292,0.1101944724062276,0.26678758341390596,0.11781585258206471,1.924092887088495,COMPLETE,0.4276341520077521,0.11781585258206471,0.45130568356374806,0.1101944724062276,1.306151858255292,1.924092887088495,0.47583428827317353,0.26678758341390596,3
4,0.5283988161845502,2025-09-10 15:05:37.301992,2025-09-10 15:05:44.048704,0 days 00:00:06.746712,0.7979530074447218,0.9083188705211764,0.6950020218932034,3.715666459626665,0.04576989910885777,5,4,658,9.939425935292322e-08,4.294768211744533e-07,0.6737911460524465,0.45061443932411677,0.5283988161845502,0.4330425334746181,1.8076909874031577,0.1203523713420368,0.2379927960276639,0.12377480566717212,2.0691533272132756,COMPLETE,0.4330425334746181,0.12377480566717212,0.45061443932411677,0.1203523713420368,1.8076909874031577,2.0691533272132756,0.5283988161845502,0.2379927960276639,4
5,0.5754446660948581,2025-09-10 15:05:44.049719,2025-09-10 15:05:53.071183,0 days 00:00:09.021464,0.6513520093643329,0.6816011011715217,0.7271420005045012,0.2708189608165268,0.02313449756730641,4,3,471,1.25102490098548e-07,1.1114535602819699e-07,0.6721147252750648,0.4650537634408602,0.5754446660948581,0.43130080888758415,2.2456764230532094,0.12144222162987713,0.23000961286617447,0.14738173623136222,2.2951473121447057,COMPLETE,0.43130080888758415,0.14738173623136222,0.4650537634408602,0.12144222162987713,2.2456764230532094,2.2951473121447057,0.5754446660948581,0.23000961286617447,5
6,0.5331923008202939,2025-09-10 15:05:53.073177,2025-09-10 15:05:56.268136,0 days 00:00:03.194959,0.6940776319942376,0.7573510046272427,0.8761145793321912,3.7191789008425804,0.12157453311391875,7,3,771,0.002592032736346979,4.8337282705365355e-06,0.6919931537004751,0.46159754224270355,0.5331923008202939,0.4282733594880048,1.7325865831412446,0.11546075566674657,0.23953115642871758,0.12889504198309296,1.9480028932780236,COMPLETE,0.4282733594880048,0.12889504198309296,0.46159754224270355,0.11546075566674657,1.7325865831412446,1.9480028932780236,0.5331923008202939,0.23953115642871758,6
7,0.46801770788825636,2025-09-10 15:05:56.270146,2025-09-10 15:06:00.970614,0 days 00:00:04.700468,0.7547775659556404,0.9049067857003825,0.9238430317609141,1.472083096514492,0.13759367795371655,10,5,723,0.0003097795190963977,0.00012124333338061843,0.6595990620263146,0.4504608294930875,0.46801770788825636,0.44326014622191834,1.7277150504751628,0.13971645914289968,0.262341376881682,0.14034135937917408,2.6655705538096486,COMPLETE,0.44326014622191834,0.14034135937917408,0.4504608294930875,0.13971645914289968,1.7277150504751628,2.6655705538096486,0.46801770788825636,0.262341376881682,7
8,0.5415444378099084,2025-09-10 15:06:00.971613,2025-09-10 15:06:09.263788,0 days 00:00:08.292175,0.9679942538556615,0.7873890854476504,0.9635782458448677,3.1765256262261374,0.03769510106800624,8,8,581,5.083196372429404e-05,0.005057816890690072,0.6724961722284253,0.46927803379416283,0.5415444378099084,0.45320656770545853,1.966879337493188,0.11934258092512368,0.24543136260604087,0.12297177121604572,2.2795851323582155,COMPLETE,0.45320656770545853,0.12297177121604572,0.46927803379416283,0.11934258092512368,1.966879337493188,2.2795851323582155,0.5415444378099084,0.24543136260604087,8
9,0.46676981920499205,2025-09-10 15:06:09.265782,2025-09-10 15:06:13.766703,0 days 00:00:04.500921,0.7891923328068556,0.800684709173385,0.639434434628965,3.062074525058013,0.05893880337126259,7,9,178,2.657603102761089e-06,2.477207083164481e-05,0.7031780200040607,0.4562980030721966,0.46676981920499205,0.43126784608144186,1.4754857337486644,0.12192699904182122,0.26559453705727143,0.12639581507388414,2.298457893322834,COMPLETE,0.43126784608144186,0.12639581507388414,0.4562980030721966,0.12192699904182122,1.4754857337486644,2.298457893322834,0.46676981920499205,0.26559453705727143,9
