number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_metrics,user_attrs_mean_accuracy,user_attrs_mean_combined,user_attrs_mean_f1_weighted,user_attrs_mean_hit_ratio,user_attrs_mean_sharpe,user_attrs_mean_sortino,state
0,0.46653342804725606,2025-09-11 14:23:42.901965,2025-09-11 14:23:43.344593,0 days 00:00:00.442628,0.6624074561769746,0.7799726016810132,0.1205712628744377,10,7,437,3.0349658373387986e-08,0.1549366521678594,0.8394633936788146,"{'f1_weighted': [0.33074820339544864, 0.18434201318287222], 'accuracy': [0.3369164619164619, 0.3284178187403994], 'sharpe': [23.800742525813387, -174.20888103624546], 'sortino': [32.86676454854483, -224.54178572001405], 'hit_ratio': [0.5257380772142316, 0.30225182366000636], 'combined': [0.8673832923464322, 0.06568356374807988]}",0.33266714032843064,0.46653342804725606,0.25754510828916044,0.413994950437119,-75.20406925521604,-95.8375105857346,COMPLETE
1,0.47316826539045626,2025-09-11 14:23:43.344593,2025-09-11 14:23:43.779596,0 days 00:00:00.435003,0.6849356442713105,0.9091248360355031,0.2708160864249968,3,6,737,3.3300161336615e-07,3.3536982538828884e-06,0.9329770563201687,"{'f1_weighted': [0.3674243982615124, 0.30789451102859694], 'accuracy': [0.36486486486486486, 0.36682027649769583], 'sharpe': [14.290542992127406, -126.48042639638844], 'sortino': [17.29811214365815, -144.51413016420346], 'hit_ratio': [0.5192754296330702, 0.3276668083297918], 'combined': [0.8729724754813734, 0.07336405529953917]}",0.36584257068128034,0.47316826539045626,0.33765945464505465,0.42347111898143097,-56.09494170213051,-63.60800901027265,COMPLETE
2,0.4566385203578425,2025-09-11 14:23:43.780594,2025-09-11 14:23:44.227466,0 days 00:00:00.446872,0.7168578594140873,1.8318092164684585,0.08012737503998542,5,2,489,6.107319200689796e-05,0.03294345976479763,0.6557975442608167,"{'f1_weighted': [0.3700654430417648, 0.221815551704045], 'accuracy': [0.3679361179361179, 0.290937019969278], 'sharpe': [3.7435779538130993, -40.86298092082798], 'sortino': [4.690973684026269, -65.49014526537425], 'hit_ratio': [0.4966139954853273, 0.4240545567265964], 'combined': [0.8550896367218295, 0.05818740399385561]}",0.32943656895269796,0.4566385203578425,0.2959404973729049,0.4603342761059619,-18.55970148350744,-30.399585790673992,COMPLETE
3,0.07080356435195939,2025-09-11 14:23:44.227970,2025-09-11 14:23:44.775651,0 days 00:00:00.547681,0.6682096494749166,0.3252579649263976,0.011711509955524094,7,9,563,0.7528826814605755,1.036908587692841,0.8430179407605753,"{'f1_weighted': [0.3449365154911838, 0.32603936493874935], 'accuracy': [0.343980343980344, 0.3640552995391705], 'sharpe': [-31.550505412349114, -121.47081882436726], 'sortino': [-37.88543734862933, -132.7993307176853], 'hit_ratio': [0.4438943894389439, 0.3057099545224861], 'combined': [0.0687960687960847, 0.0728110599078341]}",0.35401782175975727,0.07080356435195939,0.3354879402149666,0.37480217198071497,-76.51066211835818,-85.34238403315732,COMPLETE
4,0.07137789117333264,2025-09-11 14:23:44.775651,2025-09-11 14:23:45.168660,0 days 00:00:00.393009,0.6488152939379115,2.475884550556351,0.1024932221692416,3,3,374,1.9295682537564468e-08,0.3534239149370339,0.7760609974958406,"{'f1_weighted': [0.3833407278117684, 0.18968370755370878], 'accuracy': [0.3799140049140049, 0.3293394777265745], 'sharpe': [-6.783205242578615, -164.359335004482], 'sortino': [-8.034136634596209, -216.2929042515116], 'hit_ratio': [0.4858576642335766, 0.31401115933044016], 'combined': [0.07688788680135038, 0.0658678955453149]}",0.3546267413202897,0.07137789117333264,0.2865122176827386,0.3999344117820084,-85.57127012353031,-112.1635204430539,COMPLETE
5,0.46041992662737025,2025-09-11 14:23:45.169659,2025-09-11 14:23:45.617208,0 days 00:00:00.447549,0.6739417822102108,4.847923138822793,0.05864129169696527,5,9,696,0.02718947471469732,0.6292292384487448,0.8186841117373118,"{'f1_weighted': [0.3076097066927116, 0.21799299229491415], 'accuracy': [0.3313882063882064, 0.2728110599078341], 'sharpe': [-72.67584341109153, 25.91102461918519], 'sortino': [-95.88579632729542, 35.17210266055145], 'hit_ratio': [0.38870308435525824, 0.5526737111751521], 'combined': [0.06627764127764128, 0.8545622119770993]}",0.30209963314802024,0.46041992662737025,0.26280134949381284,0.47068839776520516,-23.38240939595317,-30.356846833371986,COMPLETE
6,0.07255454658680466,2025-09-11 14:23:45.618220,2025-09-11 14:23:46.141244,0 days 00:00:00.523024,0.6180909155642152,1.6266516538163218,0.01351182947645082,10,9,638,1.684309275610896e-05,1.788448554723848e-06,0.6783931449676581,"{'f1_weighted': [0.348774696186688, 0.320265554546708], 'accuracy': [0.3495085995085995, 0.376036866359447], 'sharpe': [-41.2130009400533, -114.61763276603394], 'sortino': [-48.0469143221864, -112.5880916469857], 'hit_ratio': [0.44507962433646386, 0.30707196029776673], 'combined': [0.06990171990171991, 0.07520737327188941]}",0.36277273293402323,0.07255454658680466,0.334520125366698,0.3760757923171153,-77.91531685304362,-80.31750298458606,COMPLETE
7,0.06659473046569822,2025-09-11 14:23:46.141244,2025-09-11 14:23:46.679253,0 days 00:00:00.538009,0.9208787923016158,0.3727532183988541,0.06333268775321843,5,2,421,1.5566037165984188,0.02572924212570443,0.6563696899899051,"{'f1_weighted': [0.3382647770135374, 0.18104394259550097], 'accuracy': [0.3415233415233415, 0.3244239631336406], 'sharpe': [-62.29885366084488, -168.6879892983818], 'sortino': [-70.19517570362639, -219.67048502011738], 'hit_ratio': [0.39784500621632823, 0.30916509730069053], 'combined': [0.0683046683046683, 0.06488479262672812]}",0.3329736523284911,0.06659473046569822,0.2596543598045192,0.3535050517585094,-115.49342147961335,-144.93283036187188,COMPLETE
8,0.06598056477379874,2025-09-11 14:23:46.680251,2025-09-11 14:23:47.144869,0 days 00:00:00.464618,0.9085081386743783,0.3702232586704518,0.11069143219393454,9,9,104,9.454417250824091e-06,9.15867269174216e-08,0.8916028672163949,"{'f1_weighted': [0.3241551470130922, 0.17666276751083387], 'accuracy': [0.33261670761670764, 0.3271889400921659], 'sharpe': [-25.64610351379479, -171.62715058005244], 'sortino': [-34.87774633994899, -224.20469911029198], 'hit_ratio': [0.4333084947839046, 0.307356608478803], 'combined': [0.0665233415291643, 0.06543778801843318]}",0.3299028238544368,0.06598056477379874,0.25040895726196305,0.3703325516313538,-98.63662704692362,-129.5412227251205,COMPLETE
9,0.06809975779948008,2025-09-11 14:23:47.145866,2025-09-11 14:23:47.609191,0 days 00:00:00.463325,0.7300733288106989,3.64803089169032,0.012413189635294229,5,5,661,0.0019605760527014655,0.23162188338216125,0.7243929286862649,"{'f1_weighted': [0.35584741617624577, 0.18001711402616377], 'accuracy': [0.35288697788697787, 0.328110599078341], 'sharpe': [-22.080504617071963, -170.86372043239177], 'sortino': [-26.083675685990315, -223.3968603074842], 'hit_ratio': [0.4646808510638298, 0.30905145691258523], 'combined': [0.07057739578329195, 0.0656221198156682]}",0.34049878848265946,0.06809975779948008,0.26793226510120477,0.3868661539882075,-96.47211252473187,-124.74026799673726,COMPLETE
