Title,Body,Labels,Milestone
Phase 0 – ADR & Compliance Matrix,"ADR-000; compliance checklist; traceability mapping to rules (SQLite M5, dynamic horizons 1–4h/4–12h/12–24h, CV 24h embargo, 200h rolling window, XGB ensemble 0.4/0.3/0.3, signal gate, Kelly risk, portfolio limits, A/B serving). Acceptance: ADR approved; checklist in CI; mapping complete.","phase:Phase0|architecture|compliance|rules:SQLite-M5|rules:RollingWindow-200h|rules:CV-24h-Embargo|rules:Labeling-Dynamic-MultiHorizon|rules:Ensemble-XGB-Weights|rules:Signal-Gate|rules:Kelly-PortfolioLimits","Foundation & Pipelines Complete (Wk 2)"
1.1 Repository Setup & Project Structure,"Repo tree (config, data, models, src, tests, notebooks, logs, docs); Python ML .gitignore; venv + requirements; pre-commit (black, isort, flake8, mypy); GitHub Actions CI; README. Acceptance: CI green; pre-commit passing; README complete.","phase:Phase1|repo|ci|code-quality","Foundation & Pipelines Complete (Wk 2)"
1.2 Configuration & Logging System,"YAML config with env overlays; Pydantic validation; structured JSON logs with rotation, request_id, symbol; secrets via .env + keyring/KMS. Acceptance: schema validated; logs redact secrets.","phase:Phase1|config|logging|security","Foundation & Pipelines Complete (Wk 2)"
1.3 Broker API Integration Stubs (MT5),"MT5 connector with retry/backoff and health check; M5 bars/tick retrieval; order/position stubs; typed exceptions; dry-run. Acceptance: reconnect tests pass; dry-run respects risk limits.","phase:Phase1|data|mt5|execution","Foundation & Pipelines Complete (Wk 2)"
1.4 Real-Time Data Pipeline (M5 canonical),"Ingest from SQLite data/m5_trading.db + optional MT5 live; schema/gap/outlier validation; normalization; missing data handling; 200h circular buffers; synchronized EURUSDm/GBPUSDm/USDJPYm/XAUUSDm; 1-min refresh. Acceptance: exact 200h replay; <1s latency; zero critical validation errors.","phase:Phase1|data|streaming|rules:RollingWindow-200h","Foundation & Pipelines Complete (Wk 2)"
1.5 Basic Feature Engineering Framework,"Temporal (sessions, session_transition, timezone, news proximity scaffold); Technical base (EMA20/50/200 H1/H4 from M5, MACD, RSI, Stoch, Bollinger, ATR, OBV, VWAP); modular/versioned pipeline; validation/outliers. Acceptance: deterministic tests; parity with base rule features; 200h/4 symbols <1s.","phase:Phase1|features","Foundation & Pipelines Complete (Wk 2)"
1.6 Simple Backtesting Framework,"Historical loader; position simulator with spread/slippage; metrics (Sharpe, PF, MDD, hit rate); equity/drawdown/trade logs; comparison. Acceptance: reproducible baseline run from SQLite.","phase:Phase1|backtesting","Foundation & Pipelines Complete (Wk 2)"
Phase 1A – EURUSDm Training Pipeline (Epic),"CV (Walk-Forward 2000h/500h/100h step/24h embargo, Purged K-Fold, CPCV); dynamic labels (1–4h/4–12h/12–24h, hit_5R/10R/15R/20R) with spread/slippage, ATR-adjusted; XGB fast/balanced/deep with calibration; Optuna TPE 50–100 trials (Sharpe/AvgRet/Stability, MaxDD<8%); SHAP; artifacts (joblib, metadata, rollback, A/B ready).","phase:Phase1A|instrument:EURUSDm|modeling|rules:CV-24h-Embargo|rules:Labeling-Dynamic-MultiHorizon","Foundation & Pipelines Complete (Wk 2)"
Phase 1B – XAUUSDm Training Pipeline (Epic),"Mirror EURUSDm with gold-specific spread/volatility tuning; same CV/labels/XGB/Optuna/SHAP/artifacts. Acceptance: same as 1A.","phase:Phase1B|instrument:XAUUSDm|modeling|rules:CV-24h-Embargo|rules:Labeling-Dynamic-MultiHorizon","Foundation & Pipelines Complete (Wk 2)"
Phase 1C – GBPUSDm Training Pipeline (Epic),"Mirror EURUSDm with GBP specifics; same CV/labels/XGB/Optuna/SHAP/artifacts. Acceptance: same as 1A.","phase:Phase1C|instrument:GBPUSDm|modeling|rules:CV-24h-Embargo|rules:Labeling-Dynamic-MultiHorizon","Foundation & Pipelines Complete (Wk 2)"
Phase 1D – USDJPYm Training Pipeline (Epic),"Mirror EURUSDm with JPY specifics; same CV/labels/XGB/Optuna/SHAP/artifacts. Acceptance: same as 1A.","phase:Phase1D|instrument:USDJPYm|modeling|rules:CV-24h-Embargo|rules:Labeling-Dynamic-MultiHorizon","Foundation & Pipelines Complete (Wk 2)"
2.1 Production Model Training Pipeline,"Scheduled retraining (cron/Actions); incremental/warm-start; data drift detection + retrain triggers; job queue/resource mgmt; monitoring hooks. Acceptance: schedule versions models; drift injection triggers alert + retrain.","phase:Phase2|modeling|monitoring","ML Core Complete (Wk 4)"
2.2 Ensemble Prediction System,"Weighted ensemble (0.4 balanced/0.3 deep/0.3 fast) with dynamic weights; real-time inference from 200h store; batch predictions; caching; audit logs. Acceptance: API returns 4-label probabilities within SLA; weights adjust per policy.","phase:Phase2|serving|rules:Ensemble-XGB-Weights","ML Core Complete (Wk 4)"
2.3 Advanced Validation Framework,"Bootstrap (100+); rolling-window; regime/seasonal analyses; dashboards. Acceptance: CIs on metrics; dashboards render.","phase:Phase2|validation|statistics","ML Core Complete (Wk 4)"
2.4 Feature Engineering Enhancement,"Trend alignment (ema_alignment_h1/h4, slope acceleration, composite trend); volatility regime (volatility_regime, vol_expansion_rate, garch_forecast); microstructure (spread_proxy, volume_regime, obv_slope, tick_volume_ratio, order_flow_imbalance); sentiment; feature selection and stability. Acceptance: improves metrics or pruned; reproducible.","phase:Phase2|features|microstructure|volatility|sentiment|selection","ML Core Complete (Wk 4)"
