feature,mean_abs_shap
atr_14,0.08398027
ema200_h1,0.08204639
ema50_h4,0.055817246
ema50_h1,0.05036801
sadf_log_tstat,0.043824274
one_sided_dev_z_w1440,0.04007931
day_of_week,0.039345223
power_mean_p2.0,0.037414905
hour_of_day,0.035800003
max_drawdown_w288,0.035280813
power_mean_p1.0,0.034528807
max_drawdown_w1440,0.03389666
cusum_event_rate_w1440,0.029074604
var_breach_frequency,0.02820241
ema20_h4,0.024837011
max_drawup_w1440,0.022574175
one_sided_dev_z_w288,0.021538597
shannon_entropy_sign_w288,0.021444235
price_range_entropy_w288,0.021007236
ema20_h1,0.019271461
max_drawup_w288,0.017385237
returns_kurt_rolling,0.016359063
extreme_move_frequency,0.01471979
ema_200,0.014000332
cusum_event_rate_w288,0.012354473
is_asian_session,0.01187795
sign_change_rate_w288,0.011811737
ema_alignment_h4,0.011717695
open,0.01146912
returns_skew_rolling,0.0107356645
shannon_entropy_sign_w144,0.009056291
low,0.008954452
time_since_last_event_w288,0.008936103
ema_50,0.008582733
ema_20,0.008489097
sign_change_rate_w144,0.00840538
close,0.006873533
vol_expansion_rate,0.0068442
high,0.00669015
spread_proxy,0.0062999236
renyi_entropy_q0.5,0.005811879
trend_strength_index,0.0057460284
price_range_entropy_w144,0.004694873
volume,0.003945483
time_since_last_event_w1440,0.0035254876
renyi_entropy_q2.0,0.003471303
is_ny_session,0.0032819156
obv_slope,0.0030433272
ema_alignment_h1,0.0030189825
volatility_regime,0.002762592
fractal_dim_14,0.0013342506
is_london_session,0.0013105819
ema_slope_acceleration,0.00068651984
momentum_regime,0.000562918
is_overlap_session,0.00043671334
fractal_dim_30,0.00039514247
volume_regime,0.0002721191
fractal_dim_60,0.00024167486
power_mean_p-1.0,0.00021934038
cusum_event,0.000120967605
mlfinpy_cusum_event,1.9140656e-05
var_breach,1.2018231e-05
session_transition,1.0217191e-05
put_call_ratio,0.0
tick_volume_ratio,0.0
order_flow_imbalance,0.0
garch_forecast,0.0
vix_regime,0.0
rsi_divergence,0.0
commitment_traders,0.0
sentiment_extremes,0.0
sadf_log_break,0.0
sadf_log_crit,0.0
news_release_proximity,0.0
mlfinpy_z_score_event,0.0
macd_divergence,0.0
